CreatedOn,StoreId,RegisterName,0%,6%,12%,21%,Bancontact,Cash,Betalen met kaart,UberEats,TakeAway,Deliveroo
2026-04-01,266,Belchicken A12 Drive,0,1173.7,0,0,0,131.2,1042.5,0,0,0
2026-04-02,266,Belchicken A12 Drive,0,769.9,0,0,0,128.6,641.3,0,0,0
2026-04-03,266,Belchicken A12 Drive,0,1337.2,0,0,0,130.9,1206.3,0,0,0
2026-04-04,266,Belchicken A12 Drive,0,1466.5,0,0,0,290.2,1176.3,0,0,0
2026-04-05,266,Belchicken A12 Drive,0,1108.4,0,0,0,104,1004.4,0,0,0
2026-04-06,266,Belchicken A12 Drive,0,1604.1,0,0,0,304.8,1299.3,0,0,0
2026-04-07,266,Belchicken A12 Drive,0,905.4,0,0,0,71.6,833.8,0,0,0
2026-04-08,266,Belchicken A12 Drive,0,1002.3,0,0,0,145,857.3,0,0,0
2026-04-09,266,Belchicken A12 Drive,0,974.8,0,0,0,24.8,950,0,0,0
2026-04-10,266,Belchicken A12 Drive,0,1525.07,0,0,0,65.3,1459.77,0,0,0
2026-04-11,266,Belchicken A12 Drive,0,1789.65,0,0,0,184.1,1605.55,0,0,0
2026-04-12,266,Belchicken A12 Drive,0,1049.7,0,0,0,131.9,917.8,0,0,0
2026-04-13,266,Belchicken A12 Drive,0,700.8,0,0,0,147.6,553.2,0,0,0
2026-04-14,266,Belchicken A12 Drive,0,829,0,0,0,113.6,715.4,0,0,0
2026-04-15,266,Belchicken A12 Drive,0,852.3,0,0,0,26.2,826.1,0,0,0
2026-04-16,266,Belchicken A12 Drive,0,943.45,0,0,0,0,943.45,0,0,0
2026-04-17,266,Belchicken A12 Drive,0,1312.53,0,0,0,276,1036.53,0,0,0
2026-04-18,266,Belchicken A12 Drive,0,1148.75,0,0,0,246.25,902.5,0,0,0
2026-04-19,266,Belchicken A12 Drive,0,1218.95,0,0,0,290.6,928.35,0,0,0
2026-04-20,266,Belchicken A12 Drive,0,924.95,0,0,0,76.3,848.65,0,0,0
2026-04-21,266,Belchicken A12 Drive,0,505.55,0,0,0,63.8,441.75,0,0,0
2026-04-22,266,Belchicken A12 Drive,0,823.7,0,0,0,114.2,709.5,0,0,0
2026-04-23,266,Belchicken A12 Drive,0,740.6,0,0,0,110.9,629.7,0,0,0
2026-04-24,266,Belchicken A12 Drive,0,852.8,0,0,0,81.6,771.2,0,0,0
2026-04-25,266,Belchicken A12 Drive,0,1324.5,0,0,0,253.4,1071.1,0,0,0
2026-04-26,266,Belchicken A12 Drive,0,980.6,0,0,0,205.6,775,0,0,0
2026-04-27,266,Belchicken A12 Drive,0,846.7,0,0,0,150.2,696.5,0,0,0
2026-04-28,266,Belchicken A12 Drive,0,603.9,0,0,0,66.2,537.7,0,0,0
2026-04-29,266,Belchicken A12 Drive,0,808.15,0,0,0,82.7,725.45,0,0,0
2026-04-30,266,Belchicken A12 Drive,0,1342.6,0,0,0,123.7,1218.9,0,0,0
2026-04-01,217,Belchicken Aalst,0,484.2,1155.9,148.7,0,31,1757.8,0,0,0
2026-04-02,217,Belchicken Aalst,0,317.84,433.7,45,0,12.8,783.74,0,0,0
2026-04-03,217,Belchicken Aalst,0,936.6,1435,150.2,0,459.6,2062.2,0,0,0
2026-04-04,217,Belchicken Aalst,0,602,1290.5,125.3,0,194,1823.8,0,0,0
2026-04-05,217,Belchicken Aalst,0,461.9,290,37.8,0,118.5,671.2,0,0,0
2026-04-06,217,Belchicken Aalst,0,490.7,413.4,41,0,74.5,870.6,0,0,0
2026-04-07,217,Belchicken Aalst,0,611.8,1161.1,126.3,0,99.9,1799.3,0,0,0
2026-04-08,217,Belchicken Aalst,0,507.1,1260.8,124.8,0,125.9,1753.6,0,13.2,0
2026-04-09,217,Belchicken Aalst,0,837.6,1028.5,118.8,0,173.9,1811,0,0,0
2026-04-10,217,Belchicken Aalst,0,371.3,715.8,91.2,0,61,1117.3,0,0,0
2026-04-11,217,Belchicken Aalst,0,500.8,976.1,106.9,0,178.3,1385.8,0,19.7,0
2026-04-12,217,Belchicken Aalst,0,154.6,653.6,61.5,0,114.3,755.4,0,0,0
2026-04-13,217,Belchicken Aalst,0,525.1,860.9,83.3,28.6,135.6,1305.1,0,0,0
2026-04-14,217,Belchicken Aalst,0,1060.7,686.6,75.4,0,259.1,1515.6,0,48,0
2026-04-15,217,Belchicken Aalst,0,695.6,875.8,93,0,169.6,1478.1,0,16.7,0
2026-04-16,217,Belchicken Aalst,0,354.8,940.2,119.1,0,185.4,1228.7,0,0,0
2026-04-17,217,Belchicken Aalst,0,643.5,948,97.4,43.9,285,1360,0,0,0
2026-04-18,217,Belchicken Aalst,0,421.4,869.3,104.7,0,92,1275.1,0,28.3,0
2026-04-19,217,Belchicken Aalst,0,193.4,280,33,0,61.5,424.7,0,20.2,0
2026-04-20,217,Belchicken Aalst,0,468.6,349.1,24,0,53.5,788.2,0,0,0
2026-04-21,217,Belchicken Aalst,0,406.4,391.1,36.2,0,124.5,685.8,0,23.4,0
2026-04-22,217,Belchicken Aalst,0,737.13,642,53,0,131,1301.13,0,0,0
2026-04-23,217,Belchicken Aalst,0,267.7,416.8,44.9,0,24.7,691.5,0,13.2,0
2026-04-24,217,Belchicken Aalst,0,467.5,563.6,49.6,0,80.8,999.9,0,0,0
2026-04-25,217,Belchicken Aalst,0,531.5,1428.6,171.1,0,358.7,1772.5,0,0,0
2026-04-26,217,Belchicken Aalst,0,130.9,285.1,35.5,0,92.9,358.6,0,0,0
2026-04-27,217,Belchicken Aalst,0,621.5,355.1,32.4,0,108.6,883.2,0,17.2,0
2026-04-28,217,Belchicken Aalst,0,355.1,510.8,48.9,0,106.7,808.1,0,0,0
2026-04-29,217,Belchicken Aalst,0,567.5,1009.4,97.6,0,125.6,1548.9,0,0,0
2026-04-30,217,Belchicken Aalst,0,505.5,989.9,110.4,0,100.5,1505.3,0,0,0
2026-04-01,265,Belchicken Aartselaar,0,1003.96,2343.64,265.85,0,214.36,3399.09,0,0,0
2026-04-02,265,Belchicken Aartselaar,0,884.9,2280.2,228.2,0,91.3,3302,0,0,0
2026-04-03,265,Belchicken Aartselaar,0,1327.7,2609.55,240.85,0,233.7,3944.4,0,0,0
2026-04-04,265,Belchicken Aartselaar,0,999.11,5473.1,667.3,0,430.1,6709.41,0,0,0
2026-04-05,265,Belchicken Aartselaar,0,607.05,3336.55,409.15,0,292.4,4060.35,0,0,0
2026-04-06,265,Belchicken Aartselaar,0,690.88,4631.11,511.21,0,349.09,5484.11,0,0,0
